,Unnamed: 0,startDt,E00,E01,E02,Month,Day
0,21,2018-11-23 22:35,1.348796598924693,1.183631871175706,1.2613980053497895,11,23
1,43,2018-11-16 2:17,-4.075294649144709,-4.458711487567399,-4.330293283879072,11,16
2,108,2018-11-20 0:16,1.4313025795043617,1.2081649414039362,1.2403614676931198,11,20
3,268,2018-11-23 2:40,0.0934411020804191,0.4958041278266307,0.5315357222355743,11,23
4,51,2018-11-28 1:46,2.7627146791039365,2.3783742368316183,2.497014198811428,11,28
5,77,2018-11-21 1:00,-2.18801176439878,-2.528815162025353,-2.444164450166909,11,21
6,25,2018-11-22 2:40,3.098127625266571,2.8435615433820374,2.952234669078848,11,22
7,168,2018-11-18 1:45,3.26570691768724,3.3071860830404063,3.267500918527972,11,18
8,194,2018-11-27 1:51,3.434045310060199,3.601280701812172,3.543025825466856,11,27
9,73,2018-11-17 2:20,-5.385446996460942,-5.734913033790775,-5.645178076778478,11,17
