,E00,E01,E02,Month,Day,recreation_etc,travel,meal,work,recreation_media,household,study,personal_care,hobby,outdoor_act
0,0.0704851119669456,0.206761719056459,0.1521108314759516,11,19,38.0,126.0,133.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0
1,0.8007434848242099,0.4185118043100715,0.547745185536769,11,20,125.0,138.0,70.0,0.0,0.0,0.0,-354.0,0.0,0.0,0.0
2,-1.6796093032394452,-1.8676974686384256,-1.7536125232712294,11,25,57.0,33.0,63.0,0.0,24.0,44.0,0.0,0.0,0.0,179.0
3,3.346313348948528,2.9607625711224728,3.0861768862868786,11,15,-358.0,27.0,60.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.8679305017276704,0.4885633680098209,0.5947128487569557,11,24,193.0,43.0,-633.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2118806730309188,1.2568850159134115,1.216542519070103,11,27,105.0,122.0,145.0,82.0,0.0,0.0,-519.0,33.0,30.0,0.0
6,0.2891947791039371,-0.0951456631683811,0.0234942988114283,11,26,67.0,29.0,45.0,210.0,-532.0,0.0,160.0,20.0,0.0,0.0
7,-1.3177833529105385,-1.0377440515887884,-1.1027289891347465,11,17,-513.0,29.0,41.0,75.0,24.0,0.0,338.0,0.0,0.0,0.0
8,-2.6985980353969694,-3.075074224070562,-2.965880786814708,11,23,0.0,187.0,115.0,-544.0,0.0,0.0,114.0,0.0,91.0,0.0
9,1.2145621219011673,1.534685034212771,1.4703836554143803,11,18,40.0,23.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-0.1662563109141501,0.2608626570573165,0.2144151509372278,11,16,185.0,203.0,20.0,11.0,-284.0,34.0,0.0,0.0,0.0,0.0
11,0.4272782840710505,0.0621374573207162,0.1621709287592949,11,22,-561.0,125.0,17.0,255.0,0.0,0.0,91.0,10.0,0.0,0.0
12,-3.450860001380363,-3.117329516669997,-3.180915282807589,11,21,163.0,135.0,-695.0,248.0,0.0,0.0,152.0,0.0,0.0,0.0
